Date,Opponent,Game,Result,Score,Line,OU,Total,team_source,season,date_numeric,game_no,prob_implied,dblheader_num
"May 30, 2023",vs Tampa Bay,REG,W,2-1,148,U,8.5,CHN,2023,20230530,54,0.4032258064516129,0
"May 31, 2023",vs Tampa Bay,REG,L,4-3,120,U,8.5,CHN,2023,20230531,55,0.45454545454545453,0
"Jun 2, 2023",@ San Diego,REG,W,2-1,155,U,9.0,CHN,2023,20230602,56,0.39215686274509803,0
"Jun 3, 2023",@ San Diego,REG,L,6-0,160,U,8.0,CHN,2023,20230603,57,0.38461538461538464,0
"Jun 4, 2023",@ San Diego,REG,W,7-1,-105,U,9.0,CHN,2023,20230604,58,0.5121951219512195,0
"Jun 5, 2023",@ San Diego,REG,L,5-0,145,U,9.0,CHN,2023,20230605,59,0.40816326530612246,0
"Jun 6, 2023",@ LA Angels,REG,L,7-4,100,O,9.5,CHN,2023,20230606,60,0.5,0
"Jun 7, 2023",@ LA Angels,REG,L,6-2,125,U,9.0,CHN,2023,20230607,61,0.4444444444444444,0
"Jun 8, 2023",@ LA Angels,REG,L,3-1,116,U,9.0,CHN,2023,20230608,62,0.46296296296296297,0
"Jun 9, 2023",@ San Francisco,REG,W,3-2,-110,U,8.0,CHN,2023,20230609,63,0.5238095238095238,0
"Jun 10, 2023",@ San Francisco,REG,W,4-0,155,U,8.5,CHN,2023,20230610,64,0.39215686274509803,0
"Jun 11, 2023",@ San Francisco,REG,L,13-3,130,O,8.5,CHN,2023,20230611,65,0.43478260869565216,0
"Jun 13, 2023",vs Pittsburgh,REG,W,11-3,-124,O,9.0,CHN,2023,20230613,66,0.5535714285714286,0
"Jun 14, 2023",vs Pittsburgh,REG,W,10-6,-150,O,9.0,CHN,2023,20230614,67,0.6,0
"Jun 15, 2023",vs Pittsburgh,REG,W,7-2,-150,O,7.0,CHN,2023,20230615,68,0.6,0
"Jun 16, 2023",vs Baltimore,REG,W,10-3,-135,O,8.5,CHN,2023,20230616,69,0.574468085106383,0
"Jun 17, 2023",vs Baltimore,REG,W,3-2,-133,U,8.0,CHN,2023,20230617,70,0.5708154506437768,0
"Jun 18, 2023",vs Baltimore,REG,L,6-3,-105,P,9.0,CHN,2023,20230618,71,0.5121951219512195,0
"Jun 19, 2023",@ Pittsburgh,REG,W,8-0,-125,U,9.0,CHN,2023,20230619,72,0.5555555555555556,0
"Jun 20, 2023",@ Pittsburgh,REG,W,4-0,-145,U,8.0,CHN,2023,20230620,73,0.5918367346938775,0
"Jun 21, 2023",@ Pittsburgh,REG,W,8-3,-120,O,9.0,CHN,2023,20230621,74,0.5454545454545454,0
"Jun 24, 2023",@ St. Louis,REG,W,9-1,-130,U,13.5,CHN,2023,20230624,75,0.5652173913043479,0
"Jun 25, 2023",@ St. Louis,REG,L,7-5,-150,P,12.0,CHN,2023,20230625,76,0.6,0
"Jun 27, 2023",vs Philadelphia,REG,L,5-1,118,U,8.0,CHN,2023,20230627,77,0.45871559633027525,0
"Jun 28, 2023",vs Philadelphia,REG,L,8-5,120,O,8.5,CHN,2023,20230628,78,0.45454545454545453,0
"Jun 29, 2023",vs Philadelphia,REG,L,3-1,-105,U,9.5,CHN,2023,20230629,79,0.5121951219512195,0
"Jun 30, 2023",vs Cleveland,REG,W,10-1,-200,O,8.5,CHN,2023,20230630,80,0.6666666666666667,0
"Jul 1, 2023",vs Cleveland,REG,L,6-0,-135,U,7.0,CHN,2023,20230701,81,0.574468085106383,0
"Jul 2, 2023",vs Cleveland,REG,L,8-6,-112,O,7.5,CHN,2023,20230702,82,0.5283018867924528,0
"Jul 3, 2023",@ Milwaukee,REG,L,8-6,-107,O,9.0,CHN,2023,20230703,83,0.5169082125603865,0
"Jul 4, 2023",@ Milwaukee,REG,W,7-6,-110,O,9.5,CHN,2023,20230704,84,0.5238095238095238,0
"Jul 5, 2023",@ Milwaukee,REG,W,4-3,-135,U,8.0,CHN,2023,20230705,85,0.574468085106383,0
