Date,Opponent,Game,Result,Score,Line,OU,Total,team_source,season,date_numeric,game_no,prob_implied,dblheader_num
"Mar 30, 2023",@ Boston,REG,W,10-9,105,O,8.5,BAL,2023,20230330,1,0.4878048780487805,0
"Apr 1, 2023",@ Boston,REG,L,9-8,130,O,9.5,BAL,2023,20230401,2,0.43478260869565216,0
"Apr 2, 2023",@ Boston,REG,L,9-5,120,O,9.0,BAL,2023,20230402,3,0.45454545454545453,0
"Apr 3, 2023",@ Texas,REG,W,2-0,123,U,8.5,BAL,2023,20230403,4,0.4484304932735426,0
"Apr 4, 2023",@ Texas,REG,W,7-2,122,O,8.5,BAL,2023,20230404,5,0.45045045045045046,0
"Apr 5, 2023",@ Texas,REG,L,5-2,168,U,7.5,BAL,2023,20230405,6,0.373134328358209,0
"Apr 7, 2023",vs NY Yankees,REG,W,7-6,110,O,8.5,BAL,2023,20230407,7,0.47619047619047616,0
"Apr 8, 2023",vs NY Yankees,REG,L,4-1,116,U,8.5,BAL,2023,20230408,8,0.46296296296296297,0
"Apr 9, 2023",vs NY Yankees,REG,L,5-3,122,O,7.5,BAL,2023,20230409,9,0.45045045045045046,0
"Apr 10, 2023",vs Oakland,REG,W,5-1,-180,U,8.0,BAL,2023,20230410,10,0.6428571428571428,0
"Apr 11, 2023",vs Oakland,REG,W,12-8,-200,O,8.5,BAL,2023,20230411,11,0.6666666666666667,0
"Apr 12, 2023",vs Oakland,REG,L,8-4,-206,O,9.0,BAL,2023,20230412,12,0.673202614379085,0
"Apr 13, 2023",vs Oakland,REG,W,8-7,-240,O,10.0,BAL,2023,20230413,13,0.7058823529411764,0
"Apr 14, 2023",@ Chi White Sox,REG,W,6-3,-123,P,9.0,BAL,2023,20230414,14,0.5515695067264574,0
"Apr 15, 2023",@ Chi White Sox,REG,L,7-6,-110,O,9.0,BAL,2023,20230415,15,0.5238095238095238,0
"Apr 16, 2023",@ Chi White Sox,REG,W,8-4,115,O,7.5,BAL,2023,20230416,16,0.46511627906976744,0
"Apr 18, 2023",@ Washington,REG,W,1-0,-145,U,9.0,BAL,2023,20230418,17,0.5918367346938775,0
"Apr 19, 2023",@ Washington,REG,W,4-0,-140,U,8.5,BAL,2023,20230419,18,0.5833333333333333,0
"Apr 21, 2023",vs Detroit,REG,W,2-1,-200,U,9.0,BAL,2023,20230421,19,0.6666666666666667,0
"Apr 22, 2023",vs Detroit,REG,W,5-1,-180,U,8.0,BAL,2023,20230422,20,0.6428571428571428,0
"Apr 23, 2023",vs Detroit,REG,W,2-1,-165,U,7.5,BAL,2023,20230423,21,0.6226415094339622,0
"Apr 24, 2023",vs Boston,REG,W,5-4,104,O,8.5,BAL,2023,20230424,22,0.49019607843137253,0
"Apr 25, 2023",vs Boston,REG,L,8-6,-160,O,9.0,BAL,2023,20230425,23,0.6153846153846154,0
"Apr 26, 2023",vs Boston,REG,W,6-2,-125,U,8.5,BAL,2023,20230426,24,0.5555555555555556,0
"Apr 27, 2023",@ Detroit,REG,W,7-4,-152,O,8.0,BAL,2023,20230427,25,0.6031746031746033,0
"Apr 29, 2023",@ Detroit,REG,L,7-4,-105,O,7.5,BAL,2023,20230429,26,0.5121951219512195,1
"Apr 29, 2023",@ Detroit,REG,W,6-4,-150,O,7.5,BAL,2023,20230429,27,0.6,2
"Apr 30, 2023",@ Detroit,REG,W,5-3,-150,U,8.5,BAL,2023,20230430,28,0.6,0
"May 2, 2023",@ Kansas City,REG,W,11-7,-180,O,8.5,BAL,2023,20230502,29,0.6428571428571428,0
"May 3, 2023",@ Kansas City,REG,L,6-0,-150,U,9.0,BAL,2023,20230503,30,0.6,0
"May 4, 2023",@ Kansas City,REG,W,13-10,-190,O,9.5,BAL,2023,20230504,31,0.6551724137931034,0
"May 5, 2023",@ Atlanta,REG,W,9-4,180,O,8.5,BAL,2023,20230505,32,0.35714285714285715,0
"May 6, 2023",@ Atlanta,REG,L,5-4,210,O,8.0,BAL,2023,20230506,33,0.3225806451612903,0
"May 7, 2023",@ Atlanta,REG,L,3-2,140,U,9.0,BAL,2023,20230507,34,0.4166666666666667,0
"May 8, 2023",vs Tampa Bay,REG,L,3-0,160,U,8.5,BAL,2023,20230508,35,0.38461538461538464,0
"May 9, 2023",vs Tampa Bay,REG,W,4-2,117,U,8.0,BAL,2023,20230509,36,0.4608294930875576,0
"May 10, 2023",vs Tampa Bay,REG,W,2-1,100,U,9.5,BAL,2023,20230510,37,0.5,0
"May 12, 2023",vs Pittsburgh,REG,W,6-3,-150,P,9.0,BAL,2023,20230512,38,0.6,0
"May 13, 2023",vs Pittsburgh,REG,W,2-0,-179,U,8.5,BAL,2023,20230513,39,0.6415770609318996,0
"May 14, 2023",vs Pittsburgh,REG,L,4-0,-105,U,8.0,BAL,2023,20230514,40,0.5121951219512195,0
"May 15, 2023",vs LA Angels,REG,L,9-5,105,O,8.0,BAL,2023,20230515,41,0.4878048780487805,0
"May 16, 2023",vs LA Angels,REG,W,7-3,-150,O,9.5,BAL,2023,20230516,42,0.6,0
"May 17, 2023",vs LA Angels,REG,W,3-1,-155,U,8.5,BAL,2023,20230517,43,0.607843137254902,0
"May 18, 2023",vs LA Angels,REG,L,6-5,-167,O,8.5,BAL,2023,20230518,44,0.6254681647940075,0
"May 19, 2023",@ Toronto,REG,W,6-2,135,U,9.5,BAL,2023,20230519,45,0.425531914893617,0
"May 20, 2023",@ Toronto,REG,W,6-5,121,O,9.5,BAL,2023,20230520,46,0.45248868778280543,0
"May 21, 2023",@ Toronto,REG,W,8-3,170,O,8.5,BAL,2023,20230521,47,0.37037037037037035,0
"May 23, 2023",@ NY Yankees,REG,L,6-5,150,O,8.0,BAL,2023,20230523,48,0.4,0
"May 24, 2023",@ NY Yankees,REG,W,9-6,129,O,8.5,BAL,2023,20230524,49,0.4366812227074236,0
"May 25, 2023",@ NY Yankees,REG,W,3-1,117,U,9.0,BAL,2023,20230525,50,0.4608294930875576,0
"May 26, 2023",vs Texas,REG,L,12-2,-130,O,9.0,BAL,2023,20230526,51,0.5652173913043479,0
"May 27, 2023",vs Texas,REG,L,5-3,-107,U,8.5,BAL,2023,20230527,52,0.5169082125603865,0
"May 28, 2023",vs Texas,REG,W,3-2,-150,U,9.0,BAL,2023,20230528,53,0.6,0
"May 29, 2023",vs Cleveland,REG,L,5-0,-134,U,8.0,BAL,2023,20230529,54,0.5726495726495726,0
"May 30, 2023",vs Cleveland,REG,W,8-5,-140,O,9.0,BAL,2023,20230530,55,0.5833333333333333,0
"May 31, 2023",vs Cleveland,REG,L,12-8,-105,O,8.5,BAL,2023,20230531,56,0.5121951219512195,0
"Jun 2, 2023",@ San Francisco,REG,W,3-2,139,U,7.5,BAL,2023,20230602,57,0.41841004184100417,0
"Jun 3, 2023",@ San Francisco,REG,L,4-0,110,U,7.5,BAL,2023,20230603,58,0.47619047619047616,0
"Jun 4, 2023",@ San Francisco,REG,W,8-3,-108,O,8.0,BAL,2023,20230604,59,0.5192307692307692,0
"Jun 6, 2023",@ Milwaukee,REG,L,4-3,110,U,8.5,BAL,2023,20230606,60,0.47619047619047616,0
"Jun 7, 2023",@ Milwaukee,REG,L,10-2,120,O,8.0,BAL,2023,20230607,61,0.45454545454545453,0
"Jun 8, 2023",@ Milwaukee,REG,W,6-3,-110,P,9.0,BAL,2023,20230608,62,0.5238095238095238,0
"Jun 9, 2023",vs Kansas City,REG,W,3-2,-185,U,8.0,BAL,2023,20230609,63,0.6491228070175439,0
"Jun 10, 2023",vs Kansas City,REG,W,6-1,-145,U,9.5,BAL,2023,20230610,64,0.5918367346938775,0
"Jun 11, 2023",vs Kansas City,REG,W,11-3,-160,O,9.0,BAL,2023,20230611,65,0.6153846153846154,0
"Jun 13, 2023",vs Toronto,REG,W,11-6,105,O,9.0,BAL,2023,20230613,66,0.4878048780487805,0
"Jun 14, 2023",vs Toronto,REG,L,3-1,100,U,8.5,BAL,2023,20230614,67,0.5,0
"Jun 15, 2023",vs Toronto,REG,W,4-2,-115,U,9.0,BAL,2023,20230615,68,0.5348837209302326,0
"Jun 16, 2023",@ Chi Cubs,REG,L,10-3,113,O,8.5,BAL,2023,20230616,69,0.4694835680751174,0
"Jun 17, 2023",@ Chi Cubs,REG,L,3-2,123,U,8.0,BAL,2023,20230617,70,0.4484304932735426,0
"Jun 18, 2023",@ Chi Cubs,REG,W,6-3,-105,P,9.0,BAL,2023,20230618,71,0.5121951219512195,0
"Jun 20, 2023",@ Tampa Bay,REG,W,8-6,155,O,7.5,BAL,2023,20230620,72,0.39215686274509803,0
"Jun 21, 2023",@ Tampa Bay,REG,L,7-2,130,O,8.0,BAL,2023,20230621,73,0.43478260869565216,0
"Jun 23, 2023",vs Seattle,REG,L,13-1,-105,O,8.5,BAL,2023,20230623,74,0.5121951219512195,0
"Jun 24, 2023",vs Seattle,REG,W,6-4,-120,O,9.0,BAL,2023,20230624,75,0.5454545454545454,0
"Jun 25, 2023",vs Seattle,REG,W,3-2,105,U,8.0,BAL,2023,20230625,76,0.4878048780487805,0
