Date,Opponent,Game,Result,Score,Line,OU,Total,team_source,season,date_numeric,game_no,prob_implied,dblheader_num
"May 30, 2023",@ Miami,REG,W,9-4,117,O,8.0,SDN,2023,20230530,54,0.4608294930875576,0
"May 31, 2023",@ Miami,REG,L,2-1,-112,U,8.5,SDN,2023,20230531,55,0.5283018867924528,0
"Jun 1, 2023",@ Miami,REG,W,10-1,-120,O,7.5,SDN,2023,20230601,56,0.5454545454545454,0
"Jun 2, 2023",vs Chi Cubs,REG,L,2-1,-182,U,9.0,SDN,2023,20230602,57,0.6453900709219857,0
"Jun 3, 2023",vs Chi Cubs,REG,W,6-0,-180,U,8.0,SDN,2023,20230603,58,0.6428571428571428,0
"Jun 4, 2023",vs Chi Cubs,REG,L,7-1,-105,U,9.0,SDN,2023,20230604,59,0.5121951219512195,0
"Jun 5, 2023",vs Chi Cubs,REG,W,5-0,-175,U,9.0,SDN,2023,20230605,60,0.6363636363636364,0
"Jun 6, 2023",vs Seattle,REG,L,4-1,-130,U,7.5,SDN,2023,20230606,61,0.5652173913043479,0
"Jun 7, 2023",vs Seattle,REG,W,10-3,-110,O,7.5,SDN,2023,20230607,62,0.5238095238095238,0
"Jun 9, 2023",@ Colorado,REG,W,9-6,-200,O,11.5,SDN,2023,20230609,63,0.6666666666666667,0
"Jun 10, 2023",@ Colorado,REG,W,3-2,-140,U,12.5,SDN,2023,20230610,64,0.5833333333333333,0
"Jun 11, 2023",@ Colorado,REG,L,5-4,-200,U,11.5,SDN,2023,20230611,65,0.6666666666666667,0
"Jun 13, 2023",vs Cleveland,REG,W,6-3,-180,O,7.5,SDN,2023,20230613,66,0.6428571428571428,0
"Jun 14, 2023",vs Cleveland,REG,W,5-0,-155,U,8.5,SDN,2023,20230614,67,0.607843137254902,0
"Jun 15, 2023",vs Cleveland,REG,L,8-6,-118,O,9.0,SDN,2023,20230615,68,0.5412844036697247,0
"Jun 16, 2023",vs Tampa Bay,REG,L,6-2,-110,O,7.5,SDN,2023,20230616,69,0.5238095238095238,0
"Jun 17, 2023",vs Tampa Bay,REG,W,2-0,-120,U,8.5,SDN,2023,20230617,70,0.5454545454545454,0
"Jun 18, 2023",vs Tampa Bay,REG,W,5-4,-150,O,8.5,SDN,2023,20230618,71,0.6,0
"Jun 19, 2023",@ San Francisco,REG,L,7-4,-120,O,8.0,SDN,2023,20230619,72,0.5454545454545454,0
"Jun 20, 2023",@ San Francisco,REG,L,4-3,-115,U,8.5,SDN,2023,20230620,73,0.5348837209302326,0
"Jun 21, 2023",@ San Francisco,REG,L,4-2,-115,U,7.5,SDN,2023,20230621,74,0.5348837209302326,0
"Jun 22, 2023",@ San Francisco,REG,W,10-0,-150,O,8.5,SDN,2023,20230622,75,0.6,0
"Jun 23, 2023",vs Washington,REG,W,13-3,-280,O,8.0,SDN,2023,20230623,76,0.736842105263158,0
"Jun 24, 2023",vs Washington,REG,L,2-0,-175,U,9.0,SDN,2023,20230624,77,0.6363636363636364,0
"Jun 25, 2023",vs Washington,REG,L,8-3,-200,O,8.0,SDN,2023,20230625,78,0.6666666666666667,0
"Jun 27, 2023",@ Pittsburgh,REG,L,9-4,-150,O,9.5,SDN,2023,20230627,79,0.6,0
"Jun 28, 2023",@ Pittsburgh,REG,L,7-1,-165,P,8.0,SDN,2023,20230628,80,0.6226415094339622,0
"Jun 29, 2023",@ Pittsburgh,REG,L,5-4,-200,O,8.5,SDN,2023,20230629,81,0.6666666666666667,0
"Jun 30, 2023",@ Cincinnati,REG,L,7-5,-145,O,10.5,SDN,2023,20230630,82,0.5918367346938775,0
"Jul 1, 2023",@ Cincinnati,REG,W,12-5,-160,O,12.0,SDN,2023,20230701,83,0.6153846153846154,0
"Jul 2, 2023",@ Cincinnati,REG,L,4-3,110,U,11.0,SDN,2023,20230702,84,0.47619047619047616,0
"Jul 3, 2023",vs LA Angels,REG,W,10-3,-200,O,8.0,SDN,2023,20230703,85,0.6666666666666667,0
"Jul 4, 2023",vs LA Angels,REG,W,8-5,-150,O,7.5,SDN,2023,20230704,86,0.6,0
"Jul 5, 2023",vs LA Angels,REG,W,5-3,-180,P,8.0,SDN,2023,20230705,87,0.6428571428571428,0
"Jul 7, 2023",vs NY Mets,REG,L,7-5,-120,O,8.0,SDN,2023,20230707,88,0.5454545454545454,0
"Jul 8, 2023",vs NY Mets,REG,W,3-1,-175,U,8.5,SDN,2023,20230708,89,0.6363636363636364,0
"Jul 9, 2023",vs NY Mets,REG,W,6-2,-130,P,8.0,SDN,2023,20230709,90,0.5652173913043479,0
"Jul 14, 2023",@ Philadelphia,REG,W,8-3,-110,O,9.5,SDN,2023,20230714,91,0.5238095238095238,0
"Jul 15, 2023",@ Philadelphia,REG,L,6-4,-170,O,9.0,SDN,2023,20230715,92,0.6296296296296297,1
"Jul 15, 2023",@ Philadelphia,REG,L,9-4,108,O,10.5,SDN,2023,20230715,93,0.4807692307692308,2
"Jul 16, 2023",@ Philadelphia,REG,L,7-6,135,O,8.5,SDN,2023,20230716,94,0.425531914893617,0
"Jul 18, 2023",@ Toronto,REG,W,9-1,-130,O,9.0,SDN,2023,20230718,95,0.5652173913043479,0
"Jul 19, 2023",@ Toronto,REG,W,2-0,110,U,9.0,SDN,2023,20230719,96,0.47619047619047616,0
"Jul 20, 2023",@ Toronto,REG,L,4-0,-116,U,8.5,SDN,2023,20230720,97,0.537037037037037,0
