Date,Opponent,Game,Result,Score,Line,OU,Total,team_source,season,date_numeric,game_no,prob_implied,dblheader_num
"Mar 30, 2023",@ Kansas City,REG,W,2-0,-154,U,9.0,MIN,2023,20230330,1,0.6062992125984252,0
"Apr 1, 2023",@ Kansas City,REG,W,2-0,-165,U,8.0,MIN,2023,20230401,2,0.6226415094339622,0
"Apr 2, 2023",@ Kansas City,REG,W,7-4,-145,O,9.0,MIN,2023,20230402,3,0.5918367346938775,0
"Apr 3, 2023",@ Miami,REG,W,11-1,-122,O,8.0,MIN,2023,20230403,4,0.5495495495495495,0
"Apr 4, 2023",@ Miami,REG,L,1-0,135,U,7.0,MIN,2023,20230404,5,0.425531914893617,0
"Apr 5, 2023",@ Miami,REG,L,5-2,-115,P,7.0,MIN,2023,20230405,6,0.5348837209302326,0
"Apr 7, 2023",vs Houston,REG,W,3-2,-126,U,7.5,MIN,2023,20230407,7,0.5575221238938053,0
"Apr 8, 2023",vs Houston,REG,W,9-6,-110,O,7.5,MIN,2023,20230408,8,0.5238095238095238,0
"Apr 9, 2023",vs Houston,REG,L,5-1,100,U,8.0,MIN,2023,20230409,9,0.5,0
"Apr 10, 2023",vs Chi White Sox,REG,L,4-3,125,P,7.0,MIN,2023,20230410,10,0.4444444444444444,0
"Apr 11, 2023",vs Chi White Sox,REG,W,4-3,-175,U,7.5,MIN,2023,20230411,11,0.6363636363636364,0
"Apr 12, 2023",vs Chi White Sox,REG,W,3-1,-150,U,8.5,MIN,2023,20230412,12,0.6,0
"Apr 13, 2023",@ NY Yankees,REG,W,11-2,120,O,9.0,MIN,2023,20230413,13,0.45454545454545453,0
"Apr 14, 2023",@ NY Yankees,REG,W,4-3,150,U,8.5,MIN,2023,20230414,14,0.4,0
"Apr 15, 2023",@ NY Yankees,REG,L,6-1,126,U,8.5,MIN,2023,20230415,15,0.4424778761061947,0
"Apr 16, 2023",@ NY Yankees,REG,L,2-0,134,U,7.0,MIN,2023,20230416,16,0.42735042735042733,0
"Apr 18, 2023",@ Boston,REG,L,5-4,-115,O,8.5,MIN,2023,20230418,17,0.5348837209302326,0
"Apr 19, 2023",@ Boston,REG,W,10-4,-138,O,9.0,MIN,2023,20230419,18,0.5798319327731092,0
"Apr 20, 2023",@ Boston,REG,L,11-5,100,O,9.0,MIN,2023,20230420,19,0.5,0
"Apr 21, 2023",vs Washington,REG,L,3-2,-250,U,7.5,MIN,2023,20230421,20,0.7142857142857143,0
"Apr 22, 2023",vs Washington,REG,L,10-4,-320,O,7.5,MIN,2023,20230422,21,0.7619047619047619,0
"Apr 23, 2023",vs Washington,REG,W,3-1,-260,U,8.5,MIN,2023,20230423,22,0.7222222222222222,0
"Apr 24, 2023",vs NY Yankees,REG,W,6-1,-158,U,8.0,MIN,2023,20230424,23,0.6124031007751938,0
"Apr 25, 2023",vs NY Yankees,REG,W,6-2,-125,O,6.5,MIN,2023,20230425,24,0.5555555555555556,0
"Apr 26, 2023",vs NY Yankees,REG,L,12-6,-105,O,7.5,MIN,2023,20230426,25,0.5121951219512195,0
"Apr 27, 2023",vs Kansas City,REG,W,7-1,-210,P,8.0,MIN,2023,20230427,26,0.6774193548387097,0
"Apr 28, 2023",vs Kansas City,REG,W,8-6,-275,O,7.5,MIN,2023,20230428,27,0.7333333333333334,0
"Apr 29, 2023",vs Kansas City,REG,L,3-2,-240,U,8.0,MIN,2023,20230429,28,0.7058823529411764,0
"Apr 30, 2023",vs Kansas City,REG,W,8-4,-220,O,7.5,MIN,2023,20230430,29,0.6875,0
"May 2, 2023",@ Chi White Sox,REG,L,3-2,-175,U,9.0,MIN,2023,20230502,30,0.6363636363636364,0
"May 3, 2023",@ Chi White Sox,REG,L,6-4,115,O,7.5,MIN,2023,20230503,31,0.46511627906976744,0
"May 4, 2023",@ Chi White Sox,REG,W,7-3,-145,O,7.5,MIN,2023,20230504,32,0.5918367346938775,0
"May 5, 2023",@ Cleveland,REG,W,2-0,-115,U,8.5,MIN,2023,20230505,33,0.5348837209302326,0
"May 6, 2023",@ Cleveland,REG,L,4-3,-103,U,7.5,MIN,2023,20230506,34,0.5073891625615763,0
"May 7, 2023",@ Cleveland,REG,L,2-0,-170,U,8.5,MIN,2023,20230507,35,0.6296296296296297,0
"May 9, 2023",vs San Diego,REG,L,6-1,-115,U,9.0,MIN,2023,20230509,36,0.5348837209302326,0
"May 10, 2023",vs San Diego,REG,W,4-3,-126,U,8.5,MIN,2023,20230510,37,0.5575221238938053,0
